Nodes 	Degree of Nodes 
0		5
1		8
2		10
3		7
4		9
5		12
6		5
7		8
8		5
9		4
10		6
11		5
12		11
13		7
14		5
15		7
16		10
17		6
18		8
19		11
20		8
21		6
22		11
23		7
24		6
25		7
26		9
27		6
28		12
29		4
30		5
31		6
32		7
33		9
34		5
35		9
36		7
37		8
38		9
39		4
40		8
41		11
42		4
43		5
44		5
45		5
46		6
47		7
48		9
49		3
50		12
51		9
52		6
53		10
54		9
55		11
56		10
57		3
58		7
59		7
60		12
61		4
62		7
63		3
64		7
65		5
66		5
67		8
68		9
69		8
70		6
71		3
72		5
73		4
74		3
75		7
76		10
77		13
78		8
79		5
80		6
81		7
82		8
83		8
84		8
85		11
86		6
87		8
88		6
89		8
90		6
91		3
92		7
93		7
94		3
95		12
96		9
97		6
98		5
99		6
100		4
101		7
102		7
103		8
104		5
105		9
106		6
107		7
108		9
109		4
110		6
111		7
112		4
113		6
114		8
115		6
116		4
117		8
118		10
119		7
120		3
121		4
122		2
123		7
124		4
125		6
126		6
127		8
128		14
129		5
130		18
131		5
132		7
133		7
134		9
135		10
136		8
137		7
138		5
139		5
140		5
141		10
142		4
143		4
144		6
145		10
146		5
147		8
148		9
149		12
150		7
151		10
152		8
153		9
154		12
155		10
156		3
157		8
158		5
159		2
160		6
161		7
162		5
163		7
164		4
165		5
166		2
167		6
168		4
169		11
170		7
171		5
172		5
173		6
174		3
175		11
176		5
177		5
178		7
179		11
180		5
181		4
182		6
183		6
184		7
185		6
186		10
187		2
188		5
189		5
190		10
191		6
192		5
193		8
194		6
195		5
196		6
197		3
198		9
199		6
200		1
201		12
202		8
203		7
204		8
205		4
206		10
207		6
208		5
209		2
210		5
211		5
212		9
213		6
214		6
215		10
216		9
217		8
218		9
219		6
220		9
221		8
222		7
223		7
224		5
225		9
226		7
227		7
228		9
229		10
230		7
231		3
232		8
233		10
234		6
235		7
236		4
237		5
238		8
239		5
240		8
241		5
242		7
243		7
244		5
245		6
246		5
247		4
248		6
249		7
250		10
251		12
252		5
253		5
254		11
255		4
256		9
257		6
258		10
259		10
260		5
261		6
262		3
263		8
264		4
265		4
266		7
267		10
268		9
269		6
270		10
271		10
272		6
273		7
274		6
275		8
276		4
277		5
278		4
279		5
280		6
281		6
282		7
283		7
284		4
285		7
286		6
287		7
288		7
289		13
290		4
291		8
292		9
293		4
294		7
295		2
296		7
297		3
298		6
299		6
300		11
301		6
302		10
303		4
304		11
305		5
306		7
307		4
308		7
