Nodes 	Degree of Nodes 
0		17
1		3
2		5
3		4
4		5
5		3
6		3
7		5
8		9
9		5
10		2
11		2
12		5
13		11
14		3
15		9
16		4
17		3
18		2
19		2
20		4
21		2
22		3
23		3
24		17
25		2
26		2
27		3
28		4
29		2
30		3
31		5
32		3
33		2
34		4
35		2
36		3
37		5
38		2
39		3
40		2
41		2
42		3
43		19
44		2
45		7
46		5
47		4
48		2
49		6
50		5
51		3
52		4
53		2
54		9
55		14
56		2
57		4
58		2
59		2
60		4
61		2
62		8
63		2
64		2
65		4
66		2
67		3
68		4
69		3
70		2
71		2
72		2
73		3
74		5
75		2
76		5
77		3
78		3
79		4
80		2
81		3
82		3
83		2
84		2
85		5
86		8
87		13
88		5
89		5
90		4
91		3
92		7
93		4
94		3
95		2
96		13
97		4
98		14
99		2
100		2
101		2
102		2
103		2
104		14
105		8
106		6
107		5
108		2
109		2
110		2
111		2
112		2
113		2
114		2
115		3
116		3
117		3
118		3
119		3
120		3
121		4
122		9
123		3
124		8
125		2
126		8
127		4
128		6
129		8
130		3
131		10
132		6
133		7
134		3
135		3
136		3
137		2
138		6
139		3
140		4
141		2
142		3
143		3
144		3
145		3
146		2
147		3
148		6
149		9
150		2
151		7
152		2
153		5
154		3
155		4
156		5
157		2
158		14
159		7
160		2
161		2
162		12
163		2
164		5
165		3
166		6
167		2
168		8
169		4
170		12
171		2
172		4
173		9
174		5
175		4
176		3
177		17
178		4
179		7
180		3
181		3
182		2
183		3
184		5
185		4
186		6
187		16
188		7
189		4
190		2
191		2
192		2
193		10
194		6
195		4
196		2
197		5
198		3
199		3
200		2
201		2
202		3
203		3
204		8
205		17
206		10
207		7
208		3
209		2
210		2
211		5
212		7
213		3
214		5
215		5
216		9
217		2
218		7
219		2
220		2
221		4
222		3
223		5
224		4
225		9
226		6
227		3
228		2
229		2
230		2
231		2
232		9
233		7
234		3
235		16
236		2
237		3
238		3
239		3
240		3
241		8
242		7
243		2
244		2
245		2
246		5
247		3
248		8
249		4
250		5
251		2
252		2
253		2
254		8
255		4
256		7
257		6
258		2
259		4
260		3
261		3
262		3
263		2
264		3
265		3
266		7
267		5
268		3
269		4
270		3
271		3
272		2
273		7
274		3
275		3
276		3
277		4
278		2
279		2
280		2
281		3
282		2
283		6
284		6
285		2
286		3
287		2
288		3
289		5
290		3
291		4
292		2
293		12
294		6
295		2
296		2
297		2
298		6
299		4
300		3
301		2
302		2
303		3
304		2
305		3
306		4
307		2
308		3
309		2
310		9
311		3
312		2
313		2
314		7
315		3
316		2
317		2
318		2
319		8
320		19
321		4
322		6
323		5
324		4
325		3
326		6
327		8
328		3
329		2
330		2
331		2
332		8
333		2
334		3
335		5
336		5
337		3
338		3
339		2
340		31
341		9
342		7
343		2
344		12
345		16
346		2
347		6
348		2
349		7
350		2
351		3
352		2
353		2
354		2
355		4
356		2
357		4
358		4
359		2
360		2
361		2
362		3
363		2
364		2
365		3
366		2
367		2
368		4
369		2
370		2
371		2
372		2
373		3
374		2
375		2
376		2
377		2
378		4
379		10
380		1
381		1
382		4
383		12
384		5
385		2
386		2
387		3
388		3
389		6
390		2
391		3
392		3
393		3
394		2
395		2
396		6
397		3
398		6
399		4
400		15
401		8
402		12
403		12
404		2
405		2
406		2
407		3
408		2
409		2
410		2
411		2
412		3
413		3
414		2
415		3
416		3
417		2
418		3
419		4
420		4
421		2
422		2
423		3
424		2
425		6
426		2
427		5
428		2
429		7
430		2
431		4
432		4
433		3
434		2
435		2
436		2
437		3
438		4
439		3
440		3
441		4
442		4
443		2
444		2
445		2
446		3
447		2
448		2
449		3
450		2
451		3
452		6
453		6
454		6
455		3
456		8
457		2
458		3
459		6
460		4
461		8
462		2
463		6
464		3
465		2
466		2
467		9
468		3
469		7
470		5
471		4
472		2
473		3
474		9
475		8
476		5
477		6
478		3
479		2
480		3
481		3
482		5
483		4
484		2
485		2
486		2
487		9
488		2
489		2
490		2
491		4
492		5
493		3
494		2
495		5
496		2
497		2
498		2
499		2
500		5
501		2
502		5
503		10
504		7
505		4
506		4
507		12
508		3
509		4
510		2
511		3
512		5
513		4
514		2
515		2
516		6
517		4
518		3
519		15
520		4
521		2
522		2
523		2
524		2
525		2
526		2
527		2
528		2
529		2
530		3
531		2
532		7
533		7
534		2
535		2
536		2
537		5
538		5
539		2
540		2
541		2
542		3
543		3
544		2
545		12
546		6
547		2
548		2
549		2
550		2
551		2
552		3
553		2
554		2
555		4
556		3
557		2
558		2
559		2
560		11
561		3
562		3
563		6
564		9
565		6
566		3
567		4
568		3
569		5
570		2
571		2
572		3
